task_id,task_text,candidate_rank,iscoGroup,isco_title,similarity,task_best_similarity,task_best_target,gap_1_2,is_best
0002e38a1427ce5b,"Assembles electrical and electronic systems and prototypes according to engineering data and knowledge of electrical principles, using hand tools and measuring instruments..",1,3113,Electrical Engineering Technicians,0.8378695845603943,0.8378695845603943,3113,0.01184755563735962,True
0008175db546f40f,"Cleans or degreases parts, using wire brush, portable grinder, or chemical bath..",1,7212,Welders and Flame Cutters,0.7403393983840942,0.7403393983840942,7212,0.03199923038482666,True
001002fde7dd04f8,Sharpens cutting tools on cutter grinder..,1,7316,"Sign Writers, Decorative Painters, Engravers and Etchers",0.5501700043678284,0.5501700043678284,7316,0.01719081401824951,True
0012837d915d49ee,"Meets with academic and administrative personnel to disseminate information, identify problems, monitor progress reports, and ensure adherence to goals/objectives..",1,1345,Education Managers,0.7836204767227173,0.7836204767227173,1345,0.07538580894470215,True
0015d3fa042c3d6f,"Adjusts alignment, string spacing, and striking point of hammers of piano, using wrench, burner, shims, and bushings..",1,7312,Musical Instrument Makers and Tuners,0.787261426448822,0.787261426448822,7312,0.16762608289718628,True
001c0e157b5ec567,Arranges or directs cast dresser to arrange costumes on clothing racks in sequence of appearance..,1,9629,Elementary Workers Not Elsewhere Classified,0.6167768836021423,0.6167768836021423,9629,0.010648727416992188,True
001f145057d6fd43,Interprets and explains laws and regulations to others..,1,3351,Customs and Border Inspectors,0.8298148512840271,0.8298148512840271,3351,0.16501480340957642,True
002ecc096375b085,"Examines theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data..",1,2120,"Mathematicians, Actuaries and Statisticians",0.7623603343963623,0.7623603343963623,2120,0.04572361707687378,True
002ee44aac600ecc,"Inspects buildings, fences, fields or range, supplies, and equipment to determine work to be done..",1,9212,Livestock Farm Labourers,0.6931946277618408,0.6931946277618408,9212,0.01973038911819458,True
0031db34a53f6d28,"Distributes brochures, conveys background information, and explains establishment processes and operations at tour site..",1,5113,Travel Guides,0.8495421409606934,0.8495421409606934,5113,0.10621809959411621,True
0036a09f233d4f7a,Confers with supervisor or programmer to resolve machine malfunctions and production errors and obtains approval to continue production..,1,7223,Metal Working Machine Tool Setters and  Operators,0.7901996374130249,0.7901996374130249,7223,0.03743696212768555,True
003705ba48f2b33a,Moves controls and observes gauges to regulate heat and steam..,1,8182,Steam Engine and Boiler Operators,0.8019747734069824,0.8019747734069824,8182,0.18638837337493896,True
0039de8034673a3f,Cuts excess metal and bevels edges of printing plates using routing machine..,1,7322,Printers,0.7328550815582275,0.7328550815582275,7322,0.03186875581741333,True
003ebc3c727e18cf,"Compiles, administers, and grades examinations, or assigns this work to others..",1,2310,University and Higher Education Teachers,0.6692750453948975,0.6692750453948975,2310,0.027019619941711426,True
00408902359c35d9,"Installs fixtures, outlets, terminal boards, switches, and wall boxes, using hand tools..",1,7412,Electrical Mechanics and Fitters,0.8110572099685669,0.8110572099685669,7412,0.027807116508483887,True
004114a0ff160290,Covers or sprays pattern used in producing plastic with plastic-impregnated fabric or coat of sealing lacquer or wax..,1,8142,Plastic Products Machine Operators,0.6846517324447632,0.6846517324447632,8142,0.028073787689208984,True
005211db1a3d69d8,"Develops financial plan based on analysis of client's financial status, and discusses financial options with client..",1,3311,Securities and Finance Dealers and Brokers,0.8128392696380615,0.8128392696380615,3311,0.07221806049346924,True
0053b755255f077a,"Skims slag or removes excess metal from ingots or equipment, using hand tools, strainers, rakes, or burners, and recycles scrap..",1,7211,Metal Moulders and Coremakers,0.6557202339172363,0.6557202339172363,7211,0.03924745321273804,True
006b04b182708bf6,"Examines diamond or gem to determine shape, cut, and width of stone..",1,7313,Jewellery and Precious Metal Workers,0.7033095359802246,0.7033095359802246,7313,0.0917823314666748,True
0071ddfa48c75d66,Reads and evaluates manuscripts or other materials submitted for publication and confers with authors regarding changes or publication..,1,2641,Authors and Related Writers,0.6185377240180969,0.6185377240180969,2641,0.05220019817352295,True
00751f92b9d5c61b,Consults with engineering staff to evaluate interface between hardware and software and operational and performance requirements of overall system..,1,2512,Software Developers,0.7448254823684692,0.7448254823684692,2512,0.02719169855117798,True
007b0f85209776f3,Participates in fire drills and demonstrations of fire fighting techniques..,1,5411,Fire Fighters,0.7668893337249756,0.7668893337249756,5411,0.19116735458374023,True
007eb7ca8a1f7692,"Prepares variety of foods according to customers' orders or instructions of superior, following approved procedures..",1,5246,Food Service Counter Attendants,0.8187603950500488,0.8187603950500488,5246,0.00925445556640625,True
007fadb575504f1e,"Develops job specifications, job descriptions, and work schedules..",1,2265,Dieticians and Nutritionists,0.6936805248260498,0.6936805248260498,2265,0.08040904998779297,True
0085e1067ec4fc0a,Positions trailer and drives car onto truck trailer..,1,8322,"Car, Taxi and Van Drivers",0.6800459027290344,0.6800459027290344,8322,0.003439486026763916,True
