task_id,task_text,candidate_rank,iscoGroup,isco_title,similarity,task_best_similarity,task_best_target,gap_1_2,is_best
1,Resolve customer complaints regarding sales and service..,1,1221,Sales and Marketing Managers,0.7772911787033081,0.7772911787033081,1221,0.05351215600967407,True
10,Represent company at trade association meetings to promote products..,1,1221,Sales and Marketing Managers,0.8069248199462891,0.8069248199462891,1221,0.08711719512939453,True
100,Coordinate recruitment and placement of training program participants..,1,2424,Training and Staff Development Professionals,0.8485531210899353,0.8485531210899353,2424,0.1376987099647522,True
1000,Prepare personnel forecast to project employment needs..,1,1212,Human Resource Managers,0.7774434089660645,0.7774434089660645,1212,0.14719974994659424,True
10000,"Examine car roofs for wear and damage, and repair defective sections, using roofing material, cement, nails, and waterproof paint..",1,7233,Agricultural and Industrial Machinery Mechanics and Repairers,0.6572190523147583,0.6572190523147583,7233,0.0076795220375061035,True
10001,"Paint car exteriors, interiors, and fixtures..",1,7132,Spray Painters and Varnishers,0.6327235698699951,0.6327235698699951,7132,0.026859164237976074,True
10002,Repair car upholstery..,1,7231,Motor Vehicle Mechanics and Repairers,0.6376822590827942,0.6376822590827942,7231,0.003909409046173096,True
10003,"Repair window sash frames, attach weather stripping and channels to frames, and replace window glass, using hand tools..",1,9622,Odd Job Persons,0.6589267253875732,0.6589267253875732,9622,0.013042569160461426,True
10004,Examine or test operation of parts or systems to ensure completeness of repairs..,1,3151,Ships' Engineers,0.6994155049324036,0.6994155049324036,3151,0.0009459853172302246,True
10005,"Repair plumbing or propane gas lines, using caulking compounds and plastic or copper pipe..",1,5245,Service Station Attendants,0.671549916267395,0.671549916267395,5245,0.05357956886291504,True
10006,"Inspect recreational vehicles to diagnose problems and perform necessary adjustment, repair, or overhaul..",1,5245,Service Station Attendants,0.6725817918777466,0.6725817918777466,5245,0.007899343967437744,True
10007,"Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, or hand tools..",1,7231,Motor Vehicle Mechanics and Repairers,0.6212581992149353,0.6212581992149353,7231,0.009193718433380127,True
10008,"Confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage..",1,5245,Service Station Attendants,0.6827991008758545,0.6827991008758545,5245,0.010200798511505127,True
10009,"List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, or diagrams..",1,7231,Motor Vehicle Mechanics and Repairers,0.6428929567337036,0.6428929567337036,7231,0.0009654760360717773,True
1001,Prepare and follow budgets for personnel operations..,1,1212,Human Resource Managers,0.8034104108810425,0.8034104108810425,1212,0.14476323127746582,True
10010,"Connect electrical systems to outside power sources, and activate switches to test the operation of appliances or light fixtures..",1,5245,Service Station Attendants,0.6508932709693909,0.6508932709693909,5245,1.2099742889404297e-05,True
10011,"Connect water hoses to inlet pipes of plumbing systems, and test operation of toilets or sinks..",1,5245,Service Station Attendants,0.6913602352142334,0.6913602352142334,5245,0.0382266640663147,True
10012,"Remove damaged exterior panels, and repair and replace structural frame members..",1,8322,"Car, Taxi and Van Drivers",0.6562624573707581,0.6562624573707581,8322,0.014009058475494385,True
10013,"Open and close doors, windows, or drawers to test their operation, trimming edges to fit, as necessary..",1,5245,Service Station Attendants,0.632749617099762,0.632749617099762,5245,0.0009809136390686035,True
10014,"Repair leaks with caulking compound or replace pipes, using pipe wrenches..",1,5245,Service Station Attendants,0.6325273513793945,0.6325273513793945,5245,0.018563151359558105,True
10015,"Refinish wood surfaces on cabinets, doors, moldings, or floors, using power sanders, putty, spray equipment, brushes, paints, or varnishes..",1,5245,Service Station Attendants,0.6691094636917114,0.6691094636917114,5245,0.04411691427230835,True
10016,"Reset hardware, using chisels, mallets, and screwdrivers..",1,7231,Motor Vehicle Mechanics and Repairers,0.617153525352478,0.617153525352478,7231,0.009596645832061768,True
